Component,Description,Type,Class,comments
Select&Recruitment,"Rigorous Selection and Recruitment Selecting the most suitable candidates using intensive interviews, psychometric and skill tests, and thorough background checks. Invest significant time and resources into the hiring process, including screening candidates carefully, conducting multiple interviews, and utilizing assessments to ensure candidates have the required competencies.Use of validated psychological assessments and structured interviews to screen candidates.Requiring candidates to perform job simulations and skills testing.Assessing candidates' cultural fit with the organization.Looking for evidence of past achievements and behaviors indicative of high performance",cat1,long,
Training,"Continuous Training and Development Investing in employee training and development through internal and external training courses. Training is seen as an ongoing investment rather than a one-time cost. Employees at all levels receive training to enhance their skills. Mentoring and leadership development programs are common. Offering tuition reimbursement programs for advanced education.Frequent training in new technologies, tools, and business strategies. Job rotations and cross-training to develop well-rounded employees.Leadership development programs to build managerial skills.Mentoring and coaching of new hires by experienced employees",cat1,long,
Empowerment,"Employee participation Autonomy and Empowerment Employees are involved in problem-solving and continuous improvement initiatives. Their input into decisions like work processes, product development, and strategy is valued.Providing employees with more autonomy in their roles, allowing them to make decisions and have greater control over their work.Self-managed teams - Teams are given autonomy over decisions like task assignment, schedules, and process improvements. Teams manage their own workload and policies.Flexible job assignments - Employees are developed as generalists and can move between roles. Job rotations and cross-training allow employees to gain experience in multiple functions.Involving employees in decision-making at all levels to increase engagement and job satisfaction",cat1,long,
PerformEval,"Performance Evaluation and Feedback Providing regular, constructive feedback on employee performance through formalized performance reviews and informal feedback",cat1,short,
Compensations,"Competitive Compensation and Benefits Offering competitive wages, health and wellness benefits. Merit-based compensation Pay, bonuses, stock options and promotions are tied to individual and team performance metrics, not tenure. High performers receive larger rewards.Pay-for-performance plans that reward individual accomplishments. Group bonuses tied to team metrics like quality, productivity, safety.Incentive stock options or  profit sharing to align employee goals with company performance. Rewards for learning new skills and upgrading capabilities.Benchmarking compensation against industry standards. Skill-based pay Compensation is based on certifications, new skills and capabilities employees acquire that provide business value",cat1,long,
FairJob,"Fair Work Practices Treating employees fairly and equitably, promoting an inclusive and diverse workplace, and preventing discrimination and harassment.Layoffs are seen as a last resort. The company provides stable employment and looks to redeploy rather than terminate employees",cat1,short,
Communication,"Open and Transparent Communication Sharing information about organizational performance, future strategies, and organizational changes, and providing channels for employees to share their ideas and concerns.Company shares information on financials, strategy, and metrics widely. This increases transparency and helps employees understand how their work contributes.Regular staff meetings to share updates and gather employee feedback. Anonymous employee surveys to measure engagement and work culture. Soliciting ideas from frontline staff to improve processes.Open door policies that encourage employees to voice concerns. Company-wide town halls for two-way communication with leadership",cat1,long,
Career,"Career and Succession Planning Helping employees chart a clear path for their development and progression within the organization, and planning for the replacement of key employees",cat1,short,
LeaderDevelop,"Leadership Development A conscious effort to develop leadership skills among employees, particularly those seen as potential future leaders",cat1,short,
WorkLifeBalance,"Work-Life Balance Implementing policies and programs that help employees balance their work and personal responsibilities, such as flexible work hours, telecommuting, parental leave, and employee assistance programs",cat1,short,
Recognition,Performance Recognition Recognizing and rewarding good performance to motivate employees to strive towards their goals,cat1,short,
PositiveCulture,"Positive Organizational Culture Fostering an organizational culture that values cooperation, respect, integrity, and innovation",cat1,short,
HIWPshortDescrip,"High involvement work practices (HIWPs) are a set of interconnected human resource management strategies and organizational practices designed to enhance employee engagement, autonomy, and decision-making capabilities. These practices aim to align employee skills, knowledge, and motivation with organizational goals, thereby improving both individual and organizational performance.  High-performance work practices (HPWPs) High-commitment work practices High-engagement work practices High-involvement management practices  Innovative work practices Employee involvement practices Participative management practices  High-performance human resource practices  Advanced human resource management systems Commitment-based HR systems Performance-enhancing HR practices High Involvement work practices HIWP  High commitment work practices HCWP High performance work systems HPWS Strategic human resource management practices",cat2,short,
HIWPLongDescrip,"High Involvement work practices High commitment work practices High performing work systems Rigorous Selection and Recruitment Selecting the most suitable candidates using intensive interviews, psychometric and skill tests, and thorough background checks. Invest significant time and resources into the hiring process, including screening candidates carefully, conducting multiple interviews, and utilizing assessments to ensure candidates have the required competencies.Use of validated psychological assessments and structured interviews to screen candidates.Requiring candidates to perform job simulations and skills testing.Assessing candidates' cultural fit with the organization.Looking for evidence of past achievements and behaviors indicative of high performance Continuous Training and Development Investing in employee training and development through internal and external training courses. Training is seen as an ongoing investment rather than a one-time cost. Employees at all levels receive training to enhance their skills. Mentoring and leadership development programs are common. Offering tuition reimbursement programs for advanced education.Frequent training in new technologies, tools, and business strategies. Job rotations and cross-training to develop well-rounded employees.Leadership development programs to build managerial skills.Mentoring and coaching of new hires by experienced employees Employee participation Autonomy and Empowerment Employees are involved in problem-solving and continuous improvement initiatives. Their input into decisions like work processes, product development, and strategy is valued.Providing employees with more autonomy in their roles, allowing them to make decisions and have greater control over their work.Self-managed teams - Teams are given autonomy over decisions like task assignment, schedules, and process improvements. Teams manage their own workload and policies.Flexible job assignments - Employees are developed as generalists and can move between roles. Job rotations and cross-training allow employees to gain experience in multiple functions.Involving employees in decision-making at all levels to increase engagement and job satisfaction. Performance Evaluation and Feedback Providing regular, constructive feedback on employee performance through formalized performance reviews and informal feedback. Competitive Compensation and Benefits Offering competitive wages, health and wellness benefits. Merit-based compensation - Pay, bonuses, stock options and promotions are tied to individual and team performance metrics, not tenure. High performers receive larger rewards.Pay-for-performance plans that reward individual accomplishments. Group bonuses tied to team metrics like quality, productivity, safety.Incentive stock options or  profit sharing to align employee goals with company performance. Rewards for learning new skills and upgrading capabilities.Benchmarking compensation against industry standards. Skill-based pay - Compensation is based on certifications, new skills and capabilities employees acquire that provide business value. Fair Work Practices Treating employees fairly and equitably, promoting an inclusive and diverse workplace, and preventing discrimination and harassment.Layoffs are seen as a last resort. The company provides stable employment and looks to redeploy rather than terminate employees. Open and Transparent Communication Sharing information about organizational performance, future strategies, and organizational changes, and providing channels for employees to share their ideas and concerns.Company shares information on financials, strategy, and metrics widely. This increases transparency and helps employees understand how their work contributes.Regular staff meetings to share updates and gather employee feedback. Anonymous employee surveys to measure engagement and work culture. Soliciting ideas from frontline staff to improve processes.Open door policies that encourage employees to voice concerns. Company-wide town halls for two-way communication with leadership Career and Succession Planning Helping employees chart a clear path for their development and progression within the organization, and planning for the replacement of key employees. Leadership Development A conscious effort to develop leadership skills among employees, particularly those seen as potential future leaders. Work-Life Balance Implementing policies and programs that help employees balance their work and personal responsibilities, such as flexible work hours, telecommuting, parental leave, and employee assistance programs. Performance Recognition Recognizing and rewarding good performance to motivate employees to strive towards their goals. Positive Organizational Culture Fostering an organizational culture that values cooperation, respect, integrity, and innovation",cat3,long,
RemoteWork,"Remote work refers to a flexible work arrangement where employees perform their job duties from a location outside the traditional office environment, typically utilizing information and communication technologies to maintain connectivity with their organization and colleagues.: Telework, Telecommuting, Virtual work, Distributed work, Mobile work, E-work, Distance work, Flexible work, Work from home (WFH), Offsite work, Geographically dispersed work, Networked work, Location-independent work, Remote employment, Satellite work",cat4,HRMnoHIWP,
GrenHRM,"Green Human Resource Management (GHRM) refers to the integration of environmental management practices into human resource policies and processes, aiming to promote sustainable use of resources and support eco-friendly initiatives within an organization, thereby enhancing environmental performance and employee commitment to sustainability goals.  : Environmental Human Resource Management, Eco-HRM, Sustainable Human Resource Management, Green HRM, Environmentally-friendly HRM, Ecological HRM, Eco-friendly Human Resource Management, Environmental HRM, Sustainability-oriented HRM, Green Workforce Management, Eco-conscious HR practices, Environmentally Sustainable HRM, Green HR, Eco-centric Human Resource Management",cat4,HRMnoHIWP,
NonTradWork,"Non-traditional work arrangements refer to employment structures that deviate from the standard full-time, permanent, office-based model, often characterized by flexibility in time, location, or contractual terms. These arrangements aim to accommodate diverse workforce needs and organizational requirements in an evolving labor market.  Alternative work arrangements, Flexible work arrangements, Atypical employment, Contingent work, Non-standard employment, Gig work, Precarious employment, Temporary employment, Freelance work, Contract work, Part-time employment, Job sharing, Flexible staffing, On-demand work, Portfolio career, Agile work arrangements, Casual employment, Irregular employment, Interim work,",cat4,HRMnoHIWP,
OpMange,"Operations management (OM), also known as production and operations management (POM), supply chain management (SCM), process management, manufacturing management, service operations management, operational excellence, business process management (BPM), lean operations, total quality management (TQM), industrial engineering, systems engineering, logistics management, production systems management, operations strategy, value chain management, performance management systems, operational research/operations research (OR), production planning and control, or enterprise resource planning (ERP), is a multidisciplinary field that focuses on the design, execution, and control of business processes for the efficient production of goods and delivery of services. It encompasses the planning, organizing, and supervising of manufacturing, production, or the provision of services, with the aim of creating the highest level of efficiency possible within an organization while balancing costs, sustainability, and quality.",cat5,OpManag,
SotlhigEdu,"The scholarship of teaching and learning (SoTL) in higher education, also referred to as pedagogical research, educational scholarship, academic development, instructional research, evidence-based teaching, scholarly teaching, teaching-learning research, educational inquiry, or the science of learning and teaching, is a systematic study of teaching and learning processes in post-secondary education. It involves the application of disciplinary knowledge and research methods to investigate and improve teaching practices, student learning outcomes, and educational environments. ",cat5,Teach,
CourseManag,"Course management, also known as instructional design, curriculum development, course planning, syllabus creation, learning experience design, or educational program management, encompasses the strategic organization, delivery, and assessment of educational content and activities within a specific academic course or program.",cat5,Teach,
Hauff2022,"High-performance work practices, employee well-being, and supportive leadership: spillover mechanisms and boundary conditions between HRM and leadership behavior The aim of this paper is to deepen our understanding of the relationships between high-performance work practices (HPWPs) and employee well-being. In particular, we integrate three employee well-being types, proposing that HPWPs positively affect employee health (i.e. health status, sickness absence, and sleep quality), mediated by job satisfaction and employee engagement. We also analyze the influence of supportive leadership as a key contextual factor. We hypothesize that the positive relationships between HPWPs and employee health via job satisfaction and engagement will be reinforced by supportive leadership, since the relationships between HPWPs and a) job satisfaction and b) work engagement should be stronger when leadership is more supportive. These hypotheses are tested with representative data from German-speaking countries (Austria, Germany, and Switzerland; N = 3325). The results support the mediating roles of job satisfaction and work engagement. Interestingly, the remaining direct relationships between HPWPs and sleep quality are negative, which supports a counteracting effects model. We further find a moderating effect where, in contrast to our assumption, supportive leadership attenuates HPWPs' effects. ",art,1hiwp,
Song2021,"High involvement work systems and organizational performance: the role of knowledge combination capability and interaction orientation  This study provides a theoretical model illustrating how high involvement work systems (HIWS) influence organizational performance on the knowledge combination capability perspective based on the resource-based view. We collected data from employees and managers from a sample of 147 companies, which had a total of 739 employees and 471 middle/high level managers. Our results indicate that HIWS had a significant and positive relation with organizational performance, and knowledge combination capability fully mediated its relationship. We also find that interaction orientation positively moderates the relationship between HIWS and knowledge combination capability. In addition, interaction orientation positively moderates the indirect effect of HIWS on organization creativity through knowledge combination capability. We discuss the theoretical contribution and practical implications and future studies. ",art,1hiwp,
Marin 2016,"Deconstructing AMO framework: a systematic review Purpose: The AMO framework has been widely accepted in HRM literature for explaining the linkage between human resources practices and performance. However, it remains unclear whether this model has been fully demonstrated or not. Hence, we propose a systematic review that aims at identifying those investigations that have thoroughly tested the model, as well as the approaches used by them. Design/methodology/approach: Systematic literature review, filtering scientific papers published in journals indexed in Scopus, Web of Science or Google Scholar, from the year 1993 to 2016, in the field of Social Sciences and Humanities with research that indirectly apply the AMO model in their analysis. Findings: AMO model is an excellent and structured framework that provides a better understanding of the relationship between HRM and performance. Moreover, the effectiveness of the model's proposal appears to be beyond doubt. In fact, a well trained and skilled employee will perform better, and a motivated worker will be ready to ""go the extra mile"". Likewise, if the work environment does not provide adequate opportunities, both abilities and motivation might become meaningless. However, we consider that many other factors could influence the positive effects of HPWS. As a matter of fact, not only contextual factors, but also individual beliefs, personal affinities, or personal circumstances (among others) might affect the implementation of these practices and the subsequent outcomes. For this reason, we consider that developing an HRM model that perfectly fit any situation is a very complicated, if not impossible, task. Research limitations/implications: The results show a significant variability in both research approaches and variables taken into consideration. In addition, it seems that little research has been conducted to verify the AMO model directly. Therefore, we consider that there is a great need to study the model from a more systematic perspective. A thorough understanding of the model could lead to a better understanding of the problems that organizations face when implementing human resource practices. Originality/value: Our study shed light on some aspects of the AMO framework within the HRM context. Specifically, we aimed to identify whether or not it is possible to confirm the model as it was originally proposed. We also find out which HR practices and measures of performance were considered across investigations, to define a standard approach.",art,1hiwp,
Marin2022,"What does the wage structure depend on? Evidence from the national salary survey in Spain. There is a set of tools that we can use to improve the results of each of the phases that continuous improvement projects must go through (8D, PDCA, DMAIC, Double diamond, etc.). These methods use divergent techniques, which help generate multiple alternatives, and convergent techniques that help analyze and filter the generated options. However, the tools used in all those frameworks are often very similar. Our goal, in this research, is to develop a comprehensive model that allows it to be used both for problem-solving and for taking advantage of opportunities. This protocol defines the main terms related to our research, makes a framework proposal, proposes a rubric that identifies observable milestones at each stage of the model and proposes the action plan to validate this rubric and the model in a given context. The action plan will be implemented in a future research.",art,1hiwp,
Ahmad2022,"The impact of green HRM on green creativity: mediating role of pro-environmental behaviors and moderating role of ethical leadership style  In the aftermath of global warming, organizations are coming under increasing pressure to reduce carbon emissions, minimize waste, and generally become more responsible in their practices. To this backdrop, researchers argue that organizational HR practices have significant potential in shaping human behaviors. Therefore, by investigating the employment of a subordinate-supervisor dyad (N = 378 (subordinates), and 141 (supervisors)), this empirical study contributes to the growing literature on Green Human Resource Management (green HRM) and its impacts on employees' green outcomes. In particular, this study tested a novel model to explore the impact of green HRM on Green Creativity (GC) of employees in mediating the role of Pro-Environmental Behaviors (PEBs) and moderating the role of Ethical Leadership Style (ELS). Data were collected from organizations in the Gilgit-Baltistan (GB) region of Pakistan. For testing the results of the proposed hypotheses, structural equation modelling technique using SMART PLS 3 was employed. The results indicate that green HRM has a positive impact on employees' GC. Furthermore, partial mediating role of PEBs was also found. Finally, it was found that the ELS moderates the relationship between green HRM and GC and between green HRM and PEBs. Several theoretical and practical implications are discussed. ",art,2hrn,
Houeland2022,"Not my task': Role perceptions in a green transition among shop stewards in the Norwegian petroleum industry  In the petroleum-dependent Norwegian economy, climate change politics challenge the powerful petroleum industry, and Norwegian shop stewards in that industry find themselves in cross-pressures of representation and responsibility. In this article, we investigate what role trade unionists in the oil sector play and can play, in a green and just transition. We analyse data from six focus group interviews with shop stewards in the petroleum industry. By engaging with theories of roles and role perceptions in light of labour agency, we fill a theoretical gap in the conceptualization of workers' collective agency. Respondents describe themselves as active part of a green transition in their capacity as workers, but the role of shop stewards neither seem to offer tools nor a mandate for representing environmental concerns: Climate change is not their task. Shop stewards respond to externally ascribed role expectations by insisting that primary agency resides with politicians, companies and consumers-and union leaders. Their reactive and ambiguous role interpretation can prove risky, as the employment outlook in the industry is changing radically and rapidly. Last, we find that there are both a need and potential for re-scripting shop stewards' role that is active and relevant in the green transition. ",art,2hrn,
